Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2025-02-20,S/D,9.2,90.4,3.9
2025-02-21,S/D,12,87.3,8.1
2025-02-22,S/D,12.8,90.6,8.7
2025-02-23,S/D,12,82.5,5.0
2025-02-24,S/D,11.6,80.1,0.0
2025-02-25,S/D,12.4,80.5,0.0
2025-02-26,S/D,12.6,76.1,0.0
2025-02-27,S/D,13,77.2,0.0
2025-02-28,S/D,13.4,88.9,3.7
2025-03-01,S/D,12.6,82.2,1.0
