Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,NIVEL DEL RIO (M) 06,NIVEL DEL RIO (M) 10,NIVEL DEL RIO (M) 14,NIVEL DEL RIO (M) 18
2022-11-01,0.910,0.910,0.910,0.910
2022-11-02,0.910,0.910,0.910,0.910
2022-11-03,0.910,0.910,0.910,0.910
2022-11-04,0.900,0.900,0.900,0.900
2022-11-05,0.900,0.900,0.900,0.900
2022-11-06,0.900,0.900,0.900,0.900
2022-11-07,0.900,0.900,0.900,0.900
2022-11-08,0.900,0.900,0.900,0.900
2022-11-09,0.890,0.890,0.890,0.890
2022-11-10,0.980,0.970,0.950,0.940
2022-11-11,0.930,0.930,0.920,0.920
2022-11-12,0.910,0.910,0.910,0.910
2022-11-13,0.910,0.910,0.910,0.910
2022-11-14,0.910,0.910,0.910,0.910
2022-11-15,0.900,0.900,0.900,0.900
2022-11-16,0.900,0.910,0.940,0.950
2022-11-17,1.010,0.970,0.960,0.940
2022-11-18,0.920,0.920,0.920,0.920
2022-11-19,0.920,0.920,0.910,0.910
2022-11-20,0.910,0.910,0.910,0.910
2022-11-21,0.910,0.910,0.910,0.910
2022-11-22,0.960,0.940,0.920,0.920
2022-11-23,0.910,0.910,0.910,0.910
2022-11-24,0.910,0.910,0.910,0.910
2022-11-25,0.990,0.970,0.940,0.930
2022-11-26,0.910,0.910,0.900,0.900
2022-11-27,0.890,0.890,0.880,0.880
2022-11-28,0.870,0.870,0.870,0.870
2022-11-29,0.860,0.860,0.860,0.860
2022-11-30,0.860,0.860,0.860,0.860
