Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
FECHA,TEMPERATURA_MAX,TEMPERATURA_MIN,HUMEDAD_RELATIVA,PRECIPITACION_TOTAL
2021-07-01,S/D,S/D,S/D,S/D
2021-07-02,S/D,S/D,S/D,S/D
2021-07-03,S/D,S/D,S/D,S/D
2021-07-04,32.8,20.8,77.0,0.0
2021-07-05,33,21.4,80.0,0.0
2021-07-06,32.2,23.2,84.1,9.9
2021-07-07,31.2,22.6,85.0,1.2
2021-07-08,30,22.6,91.2,9.3
2021-07-09,31,23,90.5,4.6
2021-07-10,29,22.8,91.5,2.9
2021-07-11,31.4,21.8,89.8,26.2
2021-07-12,31.6,22.2,86.6,0.0
2021-07-13,31.8,22.8,84.6,0.0
2021-07-14,32.4,23.2,83.2,0.0
2021-07-15,33,22.4,79.0,0.0
2021-07-16,34.2,23.2,83.5,0.0
2021-07-17,31,23.2,88.6,4.6
2021-07-18,32.4,23.2,87.6,17.1
2021-07-19,27.8,22.4,95.6,0.0
2021-07-20,30.6,21,92.2,0.0
2021-07-21,30.8,21.8,83.9,0.0
2021-07-22,32,21.8,76.1,0.0
2021-07-23,32.8,22.4,80.2,0.0
2021-07-24,32.6,23.2,82.6,1.1
2021-07-25,31.6,23.8,89.3,8.9
2021-07-26,31.2,22,85.8,0.0
2021-07-27,34.2,23.6,82.8,0.0
2021-07-28,32.6,22.4,80.7,0.0
2021-07-29,27.6,22.8,95.5,0.0
2021-07-30,26,17.4,78.5,0.0
2021-07-31,29.2,18.6,85.9,0.0
2021-08-01,29.8,21.4,85.9,S/D
